,,open,high,low,close
BTC/USD,2025-11-06 05:50:00,103035.87000,103144.57000,103008.25000,103128.63000
BTC/USD,2025-11-06 05:45:00,103077.71000,103180.00000,102985.09000,103026.77000
BTC/USD,2025-11-06 05:40:00,103237.21000,103261.46000,103070.04000,103077.71000
BTC/USD,2025-11-06 05:35:00,103237.33000,103260.80000,103128.76000,103237.22000
BTC/USD,2025-11-06 05:30:00,102990.35000,103238.29000,102985.85000,103238.29000
BTC/USD,2025-11-06 05:25:00,102959.09000,103063.78000,102959.09000,102999.78000
BTC/USD,2025-11-06 05:20:00,103012.88000,103071.77000,102926.71000,102959.09000
BTC/USD,2025-11-06 05:15:00,102848.11000,103078.76000,102833.98000,103016.47000
BTC/USD,2025-11-06 05:10:00,102698.07000,102938.79000,102649.10000,102848.12000
BTC/USD,2025-11-06 05:05:00,102728.72000,102751.85000,102618.07000,102699.11000
BTC/USD,2025-11-06 05:00:00,102793.31000,102827.66000,102678.82000,102728.73000
BTC/USD,2025-11-06 04:55:00,102913.97000,102978.43000,102793.30000,102793.30000
BTC/USD,2025-11-06 04:50:00,102846.19000,102961.59000,102837.99000,102913.97000
BTC/USD,2025-11-06 04:45:00,102961.92000,103067.32000,102846.19000,102846.20000
BTC/USD,2025-11-06 04:40:00,103045.01000,103078.03000,102929.54000,102961.93000
BTC/USD,2025-11-06 04:35:00,103002.52000,103062.17000,102962.75000,103037.24000
BTC/USD,2025-11-06 04:30:00,102941.28000,103026.75000,102907.37000,103002.52000
BTC/USD,2025-11-06 04:25:00,103005.81000,103062.05000,102930.51000,102939.90000
BTC/USD,2025-11-06 04:20:00,103059.67000,103059.67000,102952.73000,103000.09000
BTC/USD,2025-11-06 04:15:00,103098.96000,103142.50000,102970.48000,103059.39000
BTC/USD,2025-11-06 04:10:00,102880.80000,103100.00000,102880.79000,103098.00000
BTC/USD,2025-11-06 04:05:00,102867.63000,102988.30000,102860.80000,102880.80000
BTC/USD,2025-11-06 04:00:00,103180.10000,103249.77000,102833.01000,102867.62000
BTC/USD,2025-11-06 03:55:00,103145.04000,103284.62000,103125.62000,103180.11000
BTC/USD,2025-11-06 03:50:00,103102.78000,103194.00000,103072.92000,103145.04000
BTC/USD,2025-11-06 03:45:00,103164.87000,103203.29000,103066.01000,103104.02000
BTC/USD,2025-11-06 03:40:00,103216.80000,103251.58000,103158.81000,103163.50000
BTC/USD,2025-11-06 03:35:00,103240.00000,103297.23000,103170.41000,103216.80000
BTC/USD,2025-11-06 03:30:00,103325.97000,103369.86000,103164.60000,103245.80000
BTC/USD,2025-11-06 03:25:00,103333.84000,103419.07000,103251.60000,103325.79000
BTC/USD,2025-11-06 03:20:00,103360.00000,103402.40000,103298.00000,103333.84000
BTC/USD,2025-11-06 03:15:00,103268.99000,103428.91000,103268.99000,103360.00000
BTC/USD,2025-11-06 03:10:00,103067.63000,103269.00000,103047.14000,103269.00000
BTC/USD,2025-11-06 03:05:00,103025.40000,103117.56000,103008.00000,103067.62000
BTC/USD,2025-11-06 03:00:00,103164.60000,103206.10000,102945.07000,103019.60000
BTC/USD,2025-11-06 02:55:00,103048.61000,103257.40000,103037.03000,103170.40000
BTC/USD,2025-11-06 02:50:00,103060.21000,103135.60000,103002.85000,103048.60000
BTC/USD,2025-11-06 02:45:00,103170.40000,103173.57000,102938.40000,103057.16000
BTC/USD,2025-11-06 02:40:00,103106.15000,103190.17000,103002.01000,103170.55000
BTC/USD,2025-11-06 02:35:00,103147.06000,103489.39000,103104.04000,103112.03000
BTC/USD,2025-11-06 02:30:00,103419.06000,103419.06000,103135.61000,103147.06000
BTC/USD,2025-11-06 02:25:00,103495.20000,103559.00000,103388.30000,103423.58000
BTC/USD,2025-11-06 02:20:00,102939.89000,103490.58000,102898.36000,103490.58000
BTC/USD,2025-11-06 02:15:00,103297.39000,103297.39000,102899.98000,102939.89000
BTC/USD,2025-11-06 02:10:00,103483.23000,103483.23000,103269.00000,103297.39000
BTC/USD,2025-11-06 02:05:00,103244.23000,103527.01000,103244.23000,103483.10000
BTC/USD,2025-11-06 02:00:00,103292.21000,103373.39000,103193.20000,103244.23000
BTC/USD,2025-11-06 01:55:00,103325.33000,103419.79000,103292.21000,103292.21000
BTC/USD,2025-11-06 01:50:00,103426.44000,103448.80000,103285.82000,103325.33000
BTC/USD,2025-11-06 01:45:00,103357.49000,103454.62000,103292.21000,103426.45000
BTC/USD,2025-11-06 01:40:00,103344.02000,103395.60000,103286.41000,103357.49000
BTC/USD,2025-11-06 01:35:00,103356.38000,103447.73000,103309.61000,103338.01000
BTC/USD,2025-11-06 01:30:00,103496.03000,103582.19000,103226.44000,103360.02000
BTC/USD,2025-11-06 01:25:00,103451.15000,103511.33000,103412.00000,103496.03000
